key,city,country,population,latitude,longitude,clusters
5377995,Norwalk,US,107140,33.90224,-118.08173000000001,3
4843786,Storrs,US,15344,41.80843,-72.24951999999999,4
4853423,Davenport,US,102582,41.52364,-90.57764,4
4862034,Iowa City,US,74220,41.66113,-91.53017,4
5282804,Bridgeport,US,147629,41.17923,-73.18945,4
4887398,Chicago,US,2720546,41.85003,-87.65005,4
4889668,Deerfield,US,19019,42.17114,-87.84451,4
4890536,East Moline,US,21350,41.50087,-90.4443,4
4898015,Joliet,US,147861,41.52519,-88.0834,4
4998830,Lansing,US,115056,42.73253,-84.55553,4
4914570,Urbana,US,42311,40.11059,-88.20727,4
